,round,start_seconds,end_seconds,round_duration,ct_eq_val,t_eq_val,is_bomb_planted,bomb_site,past_halftime,de_overpass,de_cache,de_mirage,de_inferno,de_train,de_dust2,de_cbble,de_nuke,PISTOL_ROUND,ECO,SEMI_ECO,NORMAL,FORCE_BUY,t_lethal_nades_eff,ct_lethal_nades_eff,t_util_nades_eff,ct_util_nades_eff,winner_side_class,terrorist_win,counterterrorist_win
40,17,1632.001,1697.2479999999994,65.24699999999939,20800,2000,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,0,4,1,0,1
41,18,1697.2479999999994,1747.004,49.75600000000054,21600,4350,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,6,1,6,1,0,1
42,19,1747.004,1856.655,109.65100000000008,25700,26150,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,5,6,5,-1,0,1
43,20,1856.655,1970.249,113.59400000000004,30100,21200,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,5,7,4,6,1,1,0
44,21,1970.249,2233.707000000001,263.4580000000008,27000,7600,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,20,1,11,-1,0,1
45,22,2233.707000000001,2324.285,90.57799999999908,15650,22000,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,4,3,-1,1,0
46,23,2324.285,2458.798,134.51299999999992,16450,28800,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,5,2,7,3,-1,1,0
47,24,2458.798,2536.233,77.43499999999995,9500,28150,1,-1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,4,1,3,4,-1,1,0
48,25,2536.233,2629.55,93.31700000000046,24150,28150,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,4,4,2,1,1,0
49,26,2629.55,2719.5640000000008,90.01400000000058,24200,25400,1,-1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,7,13,8,5,-1,0,1
50,27,2719.5640000000008,2830.639,111.07499999999935,11050,25400,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,5,0,7,2,-1,1,0
51,28,2830.639,2921.656,91.01699999999985,13200,25700,1,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,5,0,5,4,1,1,0
52,29,2959.755,3052.039,92.28400000000009,29800,22850,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,11,4,7,1,0,1
53,30,3052.039,3156.198,104.15899999999964,31650,29900,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,4,6,3,6,1,0,1
54,31,3156.198,3231.943,75.74499999999989,30900,29800,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,7,9,4,5,-1,0,1
55,32,3270.0890000000004,3362.201,92.11199999999916,35550,29400,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,3,4,3,5,1,1,0
56,33,3362.201,3491.442,129.24100000000044,34800,21950,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,4,7,3,4,1,0,1
57,34,3491.442,3596.68,105.23799999999984,34900,23800,1,-1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,4,8,7,5,-1,0,1
